label	id falls within:	Image of: 	@id on image element in Transcription file	"id"	text: 
#1	thumbnail	sm Journal cover		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xLmhhc2hvbWVwYWdlVGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwMS50aWY%3D.jpg	
	resource	Journal cover		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xLmhhc2xpZ2h0Ym94VGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwMS50aWY%3D.jpg	
#2	thumbnail	sm image inside cover		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yLmhhc2hvbWVwYWdlVGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwMi50aWY%3D.jpg	
	resource	inside cover		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yLmhhc2xpZ2h0Ym94VGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwMi50aWY%3D.jpg	
#3	thumbnail	sm facing page inside cover		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8zLmhhc2hvbWVwYWdlVGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwMy50aWY%3D.jpg	
	resource	facing page inside cover		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8zLmhhc2xpZ2h0Ym94VGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwMy50aWY%3D.jpg	
#4	thumbnail	sm facing page Dedication		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi80Lmhhc2hvbWVwYWdlVGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwNC50aWY%3D.jpg	
	resource	facing page to Dedication		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi80Lmhhc2xpZ2h0Ym94VGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwNC50aWY%3D.jpg	
#5	thumbnail	sm dedication		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi81Lmhhc2hvbWVwYWdlVGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwNS50aWY%3D.jpg	
	resource	Dedication page	page-1	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi81Lmhhc2xpZ2h0Ym94VGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwNS50aWY%3D.jpg	To my dear little
#6	thumbnail	sm facing page to page 1		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi82Lmhhc2hvbWVwYWdlVGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwNi50aWY%3D.jpg	
	resource	facing page to page 1		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi82Lmhhc2xpZ2h0Ym94VGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwNi50aWY%3D.jpg	
#7	thumbnail	sm, Entry 1.1		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi83Lmhhc2hvbWVwYWdlVGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwNy50aWY%3D.jpg	
	resource	Entry1.1	page-2	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi83Lmhhc2xpZ2h0Ym94VGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwNy50aWY%3D.jpg	March 10th 
#8	thumbnail	sm, Entry 1.2		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi84Lmhhc2hvbWVwYWdlVGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwOC50aWY%3D.jpg	
	resource	Entry 1.2	page-3	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi84Lmhhc2xpZ2h0Ym94VGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwOC50aWY%3D.jpg	beautiful. And yet it 
#9	thumbnail	sm Entry 1.3		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi85Lmhhc2hvbWVwYWdlVGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwOS50aWY%3D.jpg	
	resource	Entry 1.3	page-4	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi85Lmhhc2xpZ2h0Ym94VGh1bWJuYWlsVmVyc2lvbi9CQ19NU18xOWNfR2Fza2VsbC0zXzAwOS50aWY%3D.jp	did two months ago
#10	thumbnail	sm entry 1.4		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xMC5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTAudGlm.jpg	
	resource	Entry 1.4	page-5	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xMC5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTAudGlm.jpg	and when I see
#11	thumbnail	sm Entry 1.5		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xMS5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTEudGlm.jpg	
	resource	Entry 1.5	page-6	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xMS5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTEudGlm.jpg	In general I think
#12	thumbnail	sm Entry 1.6		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xMi5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTIudGlm.jpg	
	resource	Entry 1.6	page-7	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xMi5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTIudGlm.jpg	ance from hands
#13	thumbnail	sm Entry 1.7		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xMy5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTMudGlm.jpg	
	resource	Entry 1.7	page-8	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xMy5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTMudGlm.jpg	while being undressed
#14	thumbnail	sm Entry 1.8		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xNC5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTQudGlm.jpg	
	resource	Entry 1.8	page-9	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xNC5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTQudGlm.jpg	says "les larmes
#15	thumbnail	sm Entry 1.9		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xNS5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTUudGlm.jpg	
	resource	Entry 1.9	page-10	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xNS5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTUudGlm.jpg	if it is improper
#16	thumbnail	sm Entry 1.10		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xNi5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTYudGlm.jpg	
	resource	Entry 1.10	page-11	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xNi5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTYudGlm.jpg	but though I keep
#17	thumbnail	sm Entry 1.11		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xNy5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTcudGlm.jpg	
	resource	Entry1.11 / 2.1	page-12	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xNy5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTcudGlm.jpg	feelings was so intimately
#18	thumbnail	sm 2.2		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xOC5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTgudGlm.jpg	
	resource	Entry 2.2	page-13	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xOC5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTgudGlm.jpg	than her nature prompts
#19	thumbnail	sm 2.3		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xOS5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTkudGlm.jpg	
	resource	Entry 2.3	page-14	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8xOS5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMTkudGlm.jpg	how all a woman's life
#20	thumbnail	sm Entry 2.4		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yMC5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjAudGlm.jpg	
	resource	Entry 2.4	page-15	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yMC5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjAudGlm.jpg	afraid of pleasure 
#21	thumbnail	sm Entry 2.5		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yMS5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjEudGlm.jpg	
	resource	Entry 2.5	page-16	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yMS5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjEudGlm.jpg	I am sometimes afraid
#22	thumbnail	sm 2.6		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yMi5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjIudGlm.jp	
	resource	Entry 2.6	page-17	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yMi5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjIudGlm.jpg	no difference in the
#23	thumbnail	sm 2.7		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yMy5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjMudGlm.jpg	
	resource	Entry 2.7	page-18	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yMy5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjMudGlm.jpg	by way of distracting
#24	thumbnail	sm 3.1		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yNC5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjQudGlm.jpg	
	resource	Entry 3.1	page-19	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yNC5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjQudGlm.jpg	Sunday Evening August October
#25	thumbnail	sm 3.2		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yNS5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjUudGlm.jpg	
	resource	Entry 3.2	page-20	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yNS5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjUudGlm.jpg	nature prompts this
#26	thumbnail	sm 3.3		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yNi5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjYudGlm.jpg	
	resource	Entry 3.3	page-21	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yNi5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjYudGlm.jpg	I think her disposition
#27	thumbnail	sm 3.4		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yNy5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjcudGlm.jpg	
	resource	Entry 3.4	page-22	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yNy5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjcudGlm.jpg	can be averted
#28	thumbnail	sm 3.5		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yOC5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjgudGlm.jpg	
	resource	Entry 3.5	page-23	https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yOC5oYXNsaWdodGJveFRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjgudGlm.jpg	I was in a great measure
#29	thumbnail	sm 3.6		https://explore.library.leeds.ac.uk/ixif/media/aHR0cHM6Ly9kaWdpdGFsLmxpYnJhcnkubGVlZHMuYWMudWsvODI2Mi8yOS5oYXNob21lcGFnZVRodW1ibmFpbFZlcnNpb24vQkNfTVNfMTljX0dhc2tlbGwtM18wMjkudGlm.jpg	
